lat,lng
1.9420,-157.4750
1.4200,172.9840
-2.8080,-171.6780
-18.0000,178.3330
-17.3330,168.5000
7.1500,171.2000
-54.5000,-67.0000
-26.8140,-54.3440
-44.0000,-69.0000
-36.0000,-60.0000
-34.0000,-66.0000
-40.0000,-67.0000
-28.0000,-63.5000
-27.0000,-65.5000
-25.0000,-60.0000
-29.5830,-67.0000
-37.0000,-66.0000
-49.0000,-70.0000
-24.7580,-65.4350
-39.0000,-70.0000
-29.0000,-58.0000
-31.0000,-69.0000
-34.5000,-68.5000
-32.0000,-64.0000
-32.0000,-59.0000
-27.0000,-67.0000
-26.3330,-60.5000
-23.0000,-66.0000
-31.0000,-61.0000
6.3010,-10.7970
5.4570,-9.5820
6.5500,-10.3170
6.7330,-10.8170
6.2330,-9.8330
4.7500,-7.7500
7.1330,-11.0500
6.9670,-9.6330
6.8170,-8.7830
5.9670,-8.2000
8.0330,-9.8500
4.7830,-8.2170
5.3330,-8.7670
7.3670,-10.3170
5.3170,-7.8000
8.2320,-10.1610
6.3010,-10.7970
6.5000,-9.5000
8.0330,-9.8500
8.1060,-10.3580
7.8910,-10.1840
8.1040,-10.1610
8.4220,-9.7480
8.3700,-10.2200
47.2130,29.1590
47.5010,28.3650
47.2110,27.8000
47.0810,28.1780
47.7390,28.9670
46.5270,28.7640
-17.7340,168.3220
41.5000,75.0000
-12.2330,44.4460
-11.7020,43.2550
33.6700,35.4250
33.8880,35.5560
33.9700,35.6200
41.0010,19.4410
41.7840,19.6440
40.4670,19.4900
41.7740,19.7860
41.3230,19.4410
41.3210,20.0700
41.5770,20.0510
40.9030,20.6530
41.6830,19.8930
40.8170,19.4070
41.9170,20.0830
41.5770,19.5660
40.6140,19.5610
39.8760,20.0050
41.6430,19.5760
41.4350,19.4490
42.0830,19.8830
-0.2870,19.8990
-1.6740,29.2280
-0.6470,29.4390
0.7080,22.9100
-2.5000,23.5000
4.1960,29.4810
-0.2720,27.5860
-3.5540,28.8480
1.2310,19.8110
2.1480,27.9950
-2.2170,25.4500
0.9170,29.1670
-4.3280,15.3140
1.8500,29.9670
15.5000,47.5000
27.0000,30.0000
31.0000,36.0000
25.0000,45.0000
16.0000,30.0000
11.8330,42.5000
14.5950,120.9720
2.4170,13.9500
5.4220,-0.4670
5.9180,0.9880
5.5330,-0.2140
5.1300,-1.2020
5.3890,-0.4930
10.9740,-0.4790
5.2620,-0.7590
5.3510,-0.6230
7.2500,-1.8330
4.8700,-2.2400
4.7950,-1.9460
39.9200,32.8540
-18.1420,178.4410
31.5840,36.3330
-2.5010,175.9860
4.6880,-160.3880
3.8670,-159.3330
5.6000,168.1170
-6.1070,177.3420
9.8830,169.1500
0.1640,173.6060
10.2780,170.8690
-7.4740,178.6750
10.1000,165.9830
11.5000,162.2500
5.3250,162.9810
8.1870,171.1400
9.5380,138.0970
-1.3300,175.9810
7.1500,171.2000
1.9400,-157.4750
0.4000,173.8670
7.3830,168.7670
8.3140,167.3800
-6.2900,176.3200
11.2690,169.8100
3.3880,172.9970
6.0000,169.5830
-1.3660,176.4640
-10.7880,179.4660
1.4330,173.0000
2.0110,173.2760
9.1820,167.3080
10.2860,169.9220
6.9640,158.2060
-0.8550,169.5380
7.7510,168.9770
0.9190,172.9980
-0.6670,174.3500
-9.3840,179.8460
11.5840,165.3760
-1.4220,174.8980
8.9330,166.2330
6.1330,171.9170
-5.6550,176.0880
-2.6350,176.8220
9.5130,170.0230
-7.2320,177.1520
7.4540,151.8050
0.2650,173.3890
-1.8860,175.5640
1.8530,172.9440
4.6330,168.7170
11.3330,166.8330
-8.5170,179.1310
3.1720,172.7970
9.0800,165.6280
-8.0000,178.3710
18.7500,102.4170
31.6670,35.2500
-15.3330,166.7500
-16.2500,167.5000
-17.7500,168.3000
-15.5000,168.0000
-13.7500,167.5000
-16.0000,167.0000
-17.7340,168.3220
-17.3330,168.5000
-16.2500,167.7500
-17.6670,168.4170
-19.5000,169.3330
-19.5000,169.5000
-15.5200,167.1620
7.1130,171.2360
9.1820,167.3090
8.7860,167.7360
7.1500,171.2000
27.6000,89.5830
27.2500,91.2330
27.9130,89.7090
27.5850,91.4550
27.5170,89.4000
27.7000,90.7830
27.3500,90.5330
27.7000,89.8500
12.3920,-7.5010
12.7790,-6.9560
14.1470,-10.5050
16.4150,-3.6710
13.0260,-5.5230
18.4610,1.3850
18.4510,2.4880
14.1590,-5.0150
15.8520,-2.7860
11.4180,-7.4830
18.0400,0.6010
-3.0800,29.3910
-3.9490,29.6240
-2.8450,30.3410
34.5000,9.0000
34.8330,9.5000
34.0000,8.0830
33.5000,8.8330
31.1670,121.4170
0.3370,6.7270
45.8330,28.3330
47.0000,28.8330
46.8120,28.1970
47.7830,27.9170
45.4820,28.1970
46.4370,30.0450
48.2740,26.6710
31.6670,35.2500
-5.0000,120.0000
13.0000,122.0000
7.5030,134.6210
-16.0000,167.0000
-18.1420,178.4410
1.4210,172.9840
-6.0000,147.0000
-8.5170,179.1450
-20.0000,-175.0000
-8.0000,159.0000
7.1130,171.2360
-13.8000,-172.1330
6.9250,158.1610
53.9000,27.5670
9.5000,2.2500
8.6670,1.0830
18.0000,9.0000
12.5000,-1.6670
20.2500,-10.5000
10.0000,8.0000
18.0000,-2.0000
14.5000,-14.2500
9.0000,39.5000
15.0000,19.0000
16.0000,30.0000
8.1000,-1.2000
-0.3770,42.0090
9.0000,46.0000
9.5220,45.5340
2.0370,45.3440
6.0000,48.0000
8.4700,48.7860
-0.3580,42.5450
11.2840,49.1820
9.0000,49.0000
9.5220,44.2810
10.3590,45.2850
16.4070,-14.0570
16.5920,-14.2630
15.5090,-12.8500
15.9950,-12.5260
16.5850,-15.7200
16.2400,-13.7220
15.3380,-12.8250
16.6550,-16.0100
16.0600,-13.3790
17.0310,-15.7620
16.8960,-15.7560
16.5140,-15.8050
16.6830,-14.7000
17.1410,-15.6590
16.4220,-12.9630
16.1450,-13.7930
15.5690,-13.0620
16.4440,-12.9620
16.2160,-13.1450
15.5400,-12.8290
15.6770,-12.7440
16.2100,-13.2390
16.2730,-13.7630
16.4240,-13.1410
16.5780,-15.4600
38.5580,68.7800
12.0500,-61.7330
16.1830,-22.9170
16.8470,-24.9770
